name,product_code,brand,image,url,socket,size,ram_slots,ram_type
ASRock B760M Steel Legend WiFi Micro ATX LGA1700 Motherboard (B760M Steel Legend WiFi),B760M Steel Legend WiFi,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/7016e17322fc1002bf4e9ebf3c9cc755.256p.jpg,https://pcpartpicker.com/product/QJC48d/asrock-b760m-steel-legend-wifi-micro-atx-lga1700-motherboard-b760m-steel-legend-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus ProArt Z790-CREATOR WIFI ATX LGA1700 Motherboard (ProArt Z790-CREATOR WIFI),ProArt Z790-CREATOR WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/ab8277b010e4ee58555176df3274e729.256p.jpg,https://pcpartpicker.com/product/VTddnQ/asus-proart-z790-creator-wifi-atx-lga1700-motherboard-proart-z790-creator-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte Z790 AERO G ATX LGA1700 Motherboard (Z790 AERO G),Z790 AERO G,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/3c50888138b49e55e085067f364813f7.256p.jpg,https://pcpartpicker.com/product/2MLFf7/gigabyte-z790-aero-g-atx-lga1700-motherboard-z790-aero-g,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte Z790 UD AC ATX LGA1700 Motherboard (Z790 UD AC),Z790 UD AC,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/aa75b3ccbf0e96275d21e3b66acf27e9.256p.jpg,https://pcpartpicker.com/product/8ncG3C/gigabyte-z790-ud-ac-atx-lga1700-motherboard-z790-ud-ac,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus PRIME Z690-A ATX LGA1700 Motherboard (PRIME Z690-A),PRIME Z690-A,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/d9514f6a0376cb65729f780c759de9e3.256p.jpg,https://pcpartpicker.com/product/VzWzK8/asus-prime-z690-a-atx-lga1700-motherboard-prime-z690-a,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
Asus ROG STRIX Z790-F GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z790-F GAMING WIFI),ROG STRIX Z790-F GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/c35f94251014862326456a00eabf270e.256p.jpg,https://pcpartpicker.com/product/hjt9TW/asus-rog-strix-z790-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-f-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MPG Z690 CARBON WIFI ATX LGA1700 Motherboard (MPG Z690 CARBON WIFI),MPG Z690 CARBON WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/585ed44aad3928449cdc1dfdd2b1f4ac.256p.jpg,https://pcpartpicker.com/product/g7Z9TW/msi-mpg-z690-carbon-wifi-atx-lga1700-motherboard-mpg-z690-carbon-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
ASRock B760M Pro RS Micro ATX LGA1700 Motherboard (B760M Pro RS),B760M Pro RS,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/a2af354dd4fa6c7177c80c9a5da7eb1f.256p.jpg,https://pcpartpicker.com/product/pTbTwP/asrock-b760m-pro-rs-micro-atx-lga1700-motherboard-b760m-pro-rs,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte Z790 GAMING X AX ATX LGA1700 Motherboard (Z790 GAMING X AX),Z790 GAMING X AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/518f8862f787587a0b2e7522f77918a7.256p.jpg,https://pcpartpicker.com/product/mYnypg/gigabyte-z790-gaming-x-ax-atx-lga1700-motherboard-z790-gaming-x-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
ASRock B760M PG Riptide Micro ATX LGA1700 Motherboard (B760M PG Riptide),B760M PG Riptide,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/532ccedf9fb9a984493debaf06220ee7.256p.jpg,https://pcpartpicker.com/product/tGmmP6/asrock-b760m-pg-riptide-micro-atx-lga1700-motherboard-b760m-pg-riptide,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MAG B760M MORTAR WIFI Micro ATX LGA1700 Motherboard (MAG B760M MORTAR WIFI),MAG B760M MORTAR WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/69755273dbbda3a64d4507d6bd0e6886.256p.jpg,https://pcpartpicker.com/product/s2KKHx/msi-mag-b760m-mortar-wifi-micro-atx-lga1700-motherboard-mag-b760m-mortar-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
ASRock Z790 PRO RS WIFI ATX LGA1700 Motherboard (Z790 PRO RS WIFI),Z790 PRO RS WIFI,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/0a9cc0cdde3a83295545ae04856c18ee.256p.jpg,https://pcpartpicker.com/product/mPt9TW/asrock-z790-pro-rs-wifi-atx-lga1700-motherboard-z790-pro-rs-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus ROG STRIX Z690-F GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z690-F GAMING WIFI),ROG STRIX Z690-F GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/83512363851c2b140f4d6a517ffb24f3.256p.jpg,https://pcpartpicker.com/product/wQBG3C/asus-rog-strix-z690-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-z690-f-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
MSI PRO Z790-P WIFI DDR4 ATX LGA1700 Motherboard (PRO Z790-P WIFI DDR4),PRO Z790-P WIFI DDR4,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/b114a7539486e8a860362aa759fe6c29.256p.jpg,https://pcpartpicker.com/product/rLzhP6/msi-pro-z790-p-wifi-ddr4-atx-lga1700-motherboard-pro-z790-p-wifi-ddr4,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
Asus ROG MAXIMUS Z790 APEX ATX LGA1700 Motherboard (ROG MAXIMUS Z790 APEX),ROG MAXIMUS Z790 APEX,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/4fcf1efe5a80982782b220a06f5cb44e.256p.jpg,https://pcpartpicker.com/product/6mnypg/asus-rog-maximus-z790-apex-atx-lga1700-motherboard-rog-maximus-z790-apex,LGA 1700,ATX,"2x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 96GB (UDIMM)",DDR5
ASRock Z690 STEEL LEGEND/D5 ATX LGA1700 Motherboard (Z690 STEEL LEGEND/D5),Z690 STEEL LEGEND/D5,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/3cb2d9fa4b880deda9173138b9b213d9.256p.jpg,https://pcpartpicker.com/product/wRddnQ/asrock-z690-steel-legendd5-atx-lga1700-motherboard-z690-steel-legendd5,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
Asus ROG STRIX B760-F GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX B760-F GAMING WIFI),ROG STRIX B760-F GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/71d1992107319ca66aa3bd86a10453d5.256p.jpg,https://pcpartpicker.com/product/WFWzK8/asus-rog-strix-b760-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-b760-f-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus PRIME Z690-P WIFI ATX LGA1700 Motherboard (PRIME Z690-P WIFI),PRIME Z690-P WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/2590da71233ad2c13ac7830cfa66de05.256p.jpg,https://pcpartpicker.com/product/Pq7G3C/asus-prime-z690-p-wifi-atx-lga1700-motherboard-prime-z690-p-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
