name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket,offers,image
AMD Athlon II X2 250u,2,1.6,,25,,False,AMD,Athlon II,X2 250u,598,637,AM3,[],
AMD Athlon II X2 255,2,3.1,,65,,False,AMD,Athlon II,X2 255,1199,1237,AM3,[],
AMD Athlon II X2 260,2,3.2,,65,,False,AMD,Athlon II,X2 260,1190,1257,AM3,[],
AMD Athlon II X2 265,2,3.2,,65,,False,AMD,Athlon II,X2 265,1267,1336,AM3,[],
AMD Athlon II X2 260u,2,1.8,,25,,False,AMD,Athlon II,X2 260u,713,716,AM3,[],
AMD Athlon II X2 270,2,3.4,,65,,False,AMD,Athlon II,X2 270,1316,1363,AM3,[],
AMD Athlon II X3 400e,3,2.2,,45,,False,AMD,Athlon II,X3 400e,1320,908,AM3,[],
AMD Athlon II X3 405e,3,2.3,,45,,False,AMD,Athlon II,X3 405e,1331,973,AM3,[],
AMD Athlon II X3 415e,3,2.5,,45,,False,AMD,Athlon II,X3 415e,1441,1028,AM3,[],
AMD Athlon II X3 425,3,2.7,,95,,False,AMD,Athlon II,X3 425,1576,1084,AM3,[],
AMD Athlon II X3 440,3,3.0,,95,,False,AMD,Athlon II,X3 440,1719,1193,AM3,[],
AMD Athlon II X3 435,3,2.9,,95,,False,AMD,Athlon II,X3 435,1625,1160,AM3,[],
AMD Athlon II X3 450,3,3.2,,95,,False,AMD,Athlon II,X3 450,1861,1300,AM3,[],
AMD Athlon II X3 445,3,3.1,,95,,False,AMD,Athlon II,X3 445,1822,1268,AM3,[],
AMD Athlon II X3 455,3,3.3,,95,,False,AMD,Athlon II,X3 455,1891,1332,AM3,[],
AMD Athlon II X4 605e,4,2.3,,45,,False,AMD,Athlon II,X4 605e,1966,999,AM3,[],
AMD Athlon II X3 460,3,3.4,,95,,False,AMD,Athlon II,X3 460,2008,1395,AM3,[],
AMD Athlon II X4 600e,4,2.2,,45,,False,AMD,Athlon II,X4 600e,1795,913,AM3,[],
AMD Athlon II X4 630,4,2.8,,95,,False,AMD,Athlon II,X4 630,2162,1129,AM3,[],
AMD Athlon II X4 610e,4,2.4,,45,,False,AMD,Athlon II,X4 610e,1959,1039,AM3,[],
AMD Athlon II X4 620,4,2.6,,95,,False,AMD,Athlon II,X4 620,2021,1062,AM3,[],
AMD Athlon II X4 631,4,2.6,,100,,False,AMD,Athlon II,X4 631,2122,1115,FM1,[],
AMD Athlon II X4 638,4,2.7,,65,,False,AMD,Athlon II,X4 638,2260,1158,FM1,[],
AMD Athlon II X4 635,4,2.9,,95,,False,AMD,Athlon II,X4 635,2237,1168,AM3,[],
AMD Athlon II X4 645,4,3.1,,95,,False,AMD,Athlon II,X4 645,2359,1257,AM3,[],
AMD Athlon II X4 640,4,3.0,,95,,False,AMD,Athlon II,X4 640,2254,1212,AM3,[],
AMD Athlon II X4 641,4,2.8,,100,,False,AMD,Athlon II,X4 641,2313,1189,FM1,[],
AMD Athlon II X4 651K,4,3.0,,100,,False,AMD,Athlon II,X4 651K,2500,1287,FM1,[],
AMD Athlon II X4 651,4,3.0,,100,,False,AMD,Athlon II,X4 651,2500,1287,FM1,[],
AMD Athlon X4 530,4,2.0,,25,,False,AMD,Athlon,X4 530,1786,690,AM1,"[{""retailer"": ""eBay"", ""price"": ""24.9"", ""url"": ""https://geizhals.de/redir/AgAAAP2D2TKQ--w9De70kI3rJ40it21WElzwvcKn83noRr0amKA_l00OTCZmqwsAFNUKablw9Luyg1ObaxQsuXHbtvQd0keXLqDK4mco61i37uXf4WNFxBDee3EPMFX4P3kkWz4CZ_Nd7wTkmzUKX3d_w6BNbyzEeoHsIWDznllyFo4cGZ5IEG9z-XEEbcDS5RRG6-yOPDwB5jJMerY5BG-6fkgFwTFgO1qlvBsa8YyCD2CYGDIg2OSZsElTn_dPcozsXXjUuXmmc6PArgxUFHwG3cb_ngPQbDb4D5-kZzTdZPeW"", ""source"": ""geizhals""}, {""retailer"": ""Proshop.de"", ""price"": ""39.99"", ""url"": ""https://geizhals.de/redir/AgAAAPUkoVKGiMEztI3RsZYM_2cflWZXOX5zj8yOi5dOuz94Bg0YpEiXsPrraIz9MOhWqu1EI1XlagjfVLfAmqE5jruNxYRYDF87yV2sdn3oZ2a3ujEIzbanAeQMqwa_tCyud9ezqnlpzhOya7pGa50EOsh4q_s7ZF3NKB6l-pyni9DhYstjnL5-mmabwaQdEFGvc5v5AAi9i013GO5WSK6CGKpbYHWNXPSXwiPyYuVygoHHi4c6Wj55KYAZdqDs-tU_clS5csezrX9D3J-hfhI1Lvw"", ""source"": ""geizhals""}, {""retailer"": ""galaxus"", ""price"": ""48.28"", ""url"": ""https://geizhals.de/redir/AgAAAMpRBuvqBJF9zeg_ZxY50NxJaKHui4kljD5nAfhsT4X296nnfQg8ZFy5_fRqIyhs4SYuUmmpZ0AKeg1A9KY4tTHzFJf23s3aKMktYisD4C7dGEeU5nhOrQ3fi4PoZGXvmDXGY5fjva5Y3Z1xdWgYV3RAC9oiSDByisPZes8fWiUHvqKHNFbL8SVX3UqSTduftjEjqvVpp9lahAP6GgrNFX3QvAl11t8nSt1EEog1rg3-PSCFaiuL5WfpiXjAELqBGoUVDltQUUEp_12nhmZ0jyN57PcAVPZXD0BZmg3H10p0eNS5eaZzo8CuDFQUfAbdxjPUZyWKz4MYyaQR5CbOJsM"", ""source"": ""geizhals""}, {""retailer"": ""Amazon"", ""price"": ""49.99"", ""url"": ""https://geizhals.de/redir/AgAAAA6yy-SBKo5reUpayJ3gN33dX33nfe9sNx-mhVqm-HVjLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MLts5Bl2MiB_2swf0eJBk1CNjTN119d0t1AOWdO_zD_01jahv-WyWJYgSyRepzxuRqDbqVVC1-7xf26TmccLZHZEmSLu96aIhxSpuuMWqiLkAkSoSiZguwCgxfKQtUlJW4PkPniUVWLRQOTvMFRSwGOfGVnlsmGKWtEZOxm-0Kxjw"", ""source"": ""geizhals""}]",https://gzhls.at/i/41/65/1664165-n0.jpg
AMD Athlon X4 740,4,3.2,,65,,False,AMD,Athlon,X4 740,2637,1355,FM2,[],
AMD Athlon X4 750K,4,3.4,,65,,False,AMD,Athlon,X4 750K,2625,1497,FM2,[],
AMD Athlon X4 760K,4,3.8,4.1,100,,False,AMD,Athlon,X4 760K,2980,1533,FM2,[],
AMD Athlon X4 845,4,3.5,3.8,65,,False,AMD,Athlon,X4 845,3781,1670,FM2+,[],
AMD Athlon X4 840,4,3.1,3.8,65,,False,AMD,Athlon,X4 840,3319,1487,FM2+,[],
AMD Athlon X4 860K,4,3.7,4.0,95,,False,AMD,Athlon,X4 860K,3435,1525,FM2+,[],
AMD Athlon X4 880K,4,4.0,4.2,95,,False,AMD,Athlon,X4 880K,3663,1633,FM2+,[],
AMD Athlon X4 870K,4,3.9,4.1,95,,False,AMD,Athlon,X4 870K,3410,1558,FM2+,[],
AMD Athlon X4 970,4,3.8,4.0,65,,False,AMD,Athlon,X4 970,3472,1616,AM4,[],
AMD E2-3200,2,2.4,,65,Radeon HD 6370D,False,AMD,E2,3200,968,971,FM1,[],
