name,image,url,brand,VRAM,model,vram_gb,g3d_mark,g2d_mark,tdp,product_code,offers
PowerColor Red Devil OC Radeon RX 6900 XT 16 GB Video Card (AXRX 6900XT 16GBD6-3DHE/OC),https://m.media-amazon.com/images/I/31iJWXQqxCL.jpg,https://pcpartpicker.com/product/ZkQcCJ/powercolor-radeon-rx-6900-xt-16-gb-red-devil-oc-video-card-axrx-6900xt-16gbd6-3dheoc,Radeon,16,RX 6900 XT,16,26728,1048,300,AXRX 6900XT 16GBD6-3DHE/OC,[]
ASRock OC Formula Radeon RX 6900 XT 16 GB Video Card (RX6900XT OCF 16G),https://cdna.pcpartpicker.com/static/forever/images/product/d2676e0e6f4fe97c0b4282db1d570473.256p.jpg,https://pcpartpicker.com/product/tH2WGX/asrock-radeon-rx-6900-xt-16-gb-oc-formula-video-card-rx6900xt-ocf-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX6900XT OCF 16G,[]
Asus STRIX LC GAMING OC Radeon RX 6900 XT 16 GB Video Card (ROG-STRIX-LC-RX6900XT-O16G-GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/757cca41198213838c21f5a750113c3b.256p.jpg,https://pcpartpicker.com/product/TtmFf7/asus-strix-lc-gaming-oc-radeon-rx-6900-xt-16-gb-video-card-rog-strix-lc-rx6900xt-o16g-gaming,Radeon,16,RX 6900 XT,16,26728,1048,300,ROG-STRIX-LC-RX6900XT-O16G-GAMING,[]
Sapphire NITRO+ Radeon RX 6900 XT 16 GB Video Card (11308-01-20G),https://cdna.pcpartpicker.com/static/forever/images/product/5b67c62d6b6f1fd71240ea719708bee9.256p.jpg,https://pcpartpicker.com/product/fpZzK8/sapphire-radeon-rx-6900-xt-16-gb-nitro-video-card-11308-01-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-01-20G,[]
Sapphire Toxic Extreme Edition Radeon RX 6900 XT 16 GB Video Card (11308-08-20G),https://cdna.pcpartpicker.com/static/forever/images/product/9b8031bbb44b1cd5f863907715b2b160.256p.jpg,https://pcpartpicker.com/product/7qRYcf/sapphire-radeon-rx-6900-xt-16-gb-toxic-extreme-edition-video-card-11308-08-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-08-20G,"[{""retailer"": ""Amazon.de"", ""price"": ""2360.29"", ""url"": ""https://geizhals.de/redir/AgAAALh8vXuC_3qPcDUnJV0dXoMoM62EycXPqnIL26dEJycGLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MJj4nUl43uBNONVZg1ajsxG_Qgb7hxoviGgLUtDuh4hDQZvl35v2k4P2_wXW0pUCsIOMXhRkH_MdmNIXb_y96OayWPHm2mAxzQWVOza4RhjERS7zkVnctgkbUuDhsgSZS2t3oi-GuxtsjG_97FSvWsHLqEKPV8pgY95YW7IThrYUw"", ""source"": ""geizhals""}]"
XFX Speedster MERC 319 Limited Radeon RX 6900 XT 16 GB Video Card (RX-69XTACSD9),https://cdna.pcpartpicker.com/static/forever/images/product/06dcb29cc5aa50929e1b7104561d1f1b.256p.jpg,https://pcpartpicker.com/product/BsddnQ/xfx-radeon-rx-6900-xt-16-gb-speedster-merc-319-video-card-rx-69xtacsd9,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69XTACSD9,[]
Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING Radeon RX 6900 XT 16 GB Video Card (ROG-STRIX-LC-RX6900XT-T16G-GAMING),https://m.media-amazon.com/images/I/41PkGxZ-B-S.jpg,https://pcpartpicker.com/product/wtM48d/asus-radeon-rx-6900-xt-16-gb-video-card-rog-strix-lc-rx6900xt-t16g-gaming,Radeon,16,RX 6900 XT,16,26728,1048,300,ROG-STRIX-LC-RX6900XT-T16G-GAMING,[]
Gigabyte AORUS MASTER Rev 2.0 Radeon RX 6900 XT 16 GB Video Card (GV-R69XTAORUS M-16GD (REV 2.0)),https://m.media-amazon.com/images/I/41s2PB4wLxL.jpg,https://pcpartpicker.com/product/pZddnQ/gigabyte-aorus-master-rev-20-radeon-rx-6900-xt-16-gb-video-card-gv-r69xtaorus-m-16gd-rev-20,Radeon,16,RX 6900 XT,16,26728,1048,300,GV-R69XTAORUS M-16GD (REV 2.0,[]
MSI RX 6900 XT 16G Radeon RX 6900 XT 16 GB Video Card (RX 6900 XT 16G),https://cdna.pcpartpicker.com/static/forever/images/product/1a19d99d9248b8099ac78a951705d143.256p.jpg,https://pcpartpicker.com/product/6NfFf7/msi-rx-6900-xt-16g-radeon-rx-6900-xt-16-gb-video-card-rx-6900-xt-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX 6900 XT 16G,[]
PowerColor AXRX 6900XT 16GBD6-M2DHC Radeon RX 6900 XT 16 GB Video Card (AXRX 6900XT 16GBD6-M2DHC),https://cdna.pcpartpicker.com/static/forever/images/product/3a43c6da262ff8189bb0b89f20c1b154.256p.jpg,https://pcpartpicker.com/product/jRLwrH/powercolor-radeon-rx-6900-xt-16-gb-video-card-axrx-6900xt-16gbd6-m2dhc,Radeon,16,RX 6900 XT,16,26728,1048,300,AXRX 6900XT 16GBD6-M2DHC,[]
